Date,Time,Home,HG,HxGt,HxGp,Away,AG,AxGt,AxGp,GD,xGDt,xGDp,Final,HxPts,AxPts
2024-05-21,,New York City FC II,0,,,NM (USL),3,,,,,,,,
2024-05-22,,IND (USL),3,,,DET (USL),0,,,,,,,,
2024-05-21,,SAC (USL),4,,,SJE,3,,,,,,,,
2024-05-21,,SKC,4,,,TUL (USL),0,,,,,,,,
2024-05-21,,LAFC,3,,,LDN (USL),0,,,,,,,,
2024-05-22,,TBR (USL),1,,,FCD,2,,,,,,,,
2024-05-22,,SEA,2,,,PHX (USL),1,,,,,,,,
2024-07-09,,ATL,1,,,IND (USL),2,,,,,,,,
2024-07-09,,SAC (USL),1,,,SEA,2,,,,,,,,
2024-07-10,,SKC,2,,,FCD,1,,,,,,,,
2024-07-10,,LAFC,3,,,NM (USL),1,,,,,,,,
2024-08-27,,SKC,2,,,IND (USL),0,,,,,,,,
2024-08-28,,SEA,0,,,LAFC,1,,,,,,,,
2024-09-25,,LAFC,3,,,SKC,1,,,,,,,,
2025-03-18,,HFD (USL),3,,,New York Shockers,0,,,,,,,,
2025-03-18,,MIA (USL),4,,,Naples United FC,1,,,,,,,,
2025-03-18,,SAR (USL1),1,,,FCN (USL1),2,,,,,,,,
2025-03-18,,New Jersey Alliance FC,2,,,CHA (USL1),2,,,,,,,,
2025-03-18,,FC Motown,0,,,WES (USL1),1,,,,,,,,
2025-03-18,,Asheville City SC,0,,,GVL (USL1),0,,,,,,,,
